epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.482,2.2737,4.24056,2.13856,0.03451,0.16,0.01647,0.00587,2.35431,4.48199,2.38448,0.00046,0.00046,0.00046
2,641.785,1.99267,3.07953,1.97105,0.05556,0.072,0.01676,0.00454,2.68482,4.32944,2.97117,0.00089347,0.00089347,0.00089347
3,1040.54,2.01674,3.053,2.02681,0.06977,0.016,0.00891,0.00211,2.69448,11.3777,3.08304,0.00127942,0.00127942,0.00127942
4,1446.66,1.98384,3.05056,2.05096,0.00094,0.128,0.00053,0.0002,3.20487,1287.11,4.26516,0.00161785,0.00161785,0.00161785
5,1848.21,1.96951,3.0199,1.99248,0.02422,0.008,0.00183,0.00053,3.96571,7.29726,4.53098,0.001604,0.001604,0.001604
6,2250.31,1.94041,3.01369,2.00635,0.01575,0.232,0.00897,0.00301,2.31521,9.58343,2.4207,0.001505,0.001505,0.001505
